name	@lat	@lon	population
Santa Eudóxia	-21.7727232	-47.7937627	
Bonfim Paulista	-21.2639857	-47.8168874	
Cruz das Posses	-21.0771533	-47.9007214	
Nova Veneza	-22.8069862	-47.2200481	140774
Assistência	-22.4973514	-47.5839109	1339
Ajapi	-22.2817068	-47.5491057	
Barão Geraldo	-22.8249724	-47.0808380	55818
Tujuguaba	-22.3788904	-47.1654273	
Três Pontes	-22.6965030	-46.7215050	
Cachoeira de Emas	-21.9231350	-47.3647300	
Jurucê	-21.0648939	-47.7448235	
Nova Aparecida	-22.8574238	-47.1538066	
Santa Cruz da Estrela	-21.7545441	-47.3411534	
Venda Branca	-21.9489225	-47.1189859	
Mostardas	-22.7246507	-46.6290388	
São Roque da Fartura	-21.8362867	-46.7442374	
Lagoa Branca	-21.8946979	-47.0361209	
Martim Francisco	-22.5237789	-46.9551454	
Martinho Prado Júnior	-22.2885175	-47.1349673	
Eleutério	-22.3273594	-46.7225525	
São Benedito da Cachoeirinha	-20.2477265	-47.8718879	
Capivari da Mata	-20.3608246	-47.6812171	
Cândia	-20.8978661	-47.9866506	
Pioneiros	-20.5078253	-47.8331266	
Campestrinho	-21.7257742	-46.6501826	
Barrânia	-21.5411541	-46.5115780	
São Benedito das Areias	-21.3199052	-47.0290593	
Igaraí	-21.4072816	-46.8104616	
Campos de Cunha	-22.9215773	-44.8203588	
Pinheiros	-22.5360672	-44.8865710	
Alto Porã	-20.0731664	-47.4848637	
Igaçaba	-20.1315487	-47.4436550	
Turvo	-23.9004388	-47.5164719	
Santana	-22.6246440	-47.7291835	
Caiubi	-22.7419401	-47.4763229	
Tanquinho	-22.5690316	-47.6077154	
Toque-Toque Pequeno	-23.8162061	-45.5321809	
Embaú	-22.6065710	-45.0415950	
Quilombo	-22.6145338	-45.0896156	
Santa Bárbara d'Oeste	-22.7542539	-47.4137884	183347
Nova Odessa	-22.7805746	-47.2993805	62019
Cosmópolis	-22.6437398	-47.1972086	59773
Santa Gertrudes	-22.4590897	-47.5320340	23611
Cordeirópolis	-22.4768324	-47.4550551	24514
Corumbataí	-22.2210521	-47.6249638	4195
Analândia	-22.1289170	-47.6619390	4589
Sales Oliveira	-20.7696120	-47.8368730	11411
Bertioga	-23.8485680	-46.1395860	64188
Ferraz de Vasconcelos	-23.5410560	-46.3709700	179198
Poá	-23.5249082	-46.3445663	103765
Arujá	-23.3962660	-46.3175449	86678
Santa Isabel	-23.3194222	-46.2271903	53174
Laranjal Paulista	-23.0514764	-47.8370125	26261
São Pedro	-22.5512765	-47.9072359	38256
Águas de São Pedro	-22.6000681	-47.8750887	2780
Ipeúna	-22.4356582	-47.7146714	6831
Charqueada	-22.5095800	-47.7754680	15535
Saltinho	-22.8446614	-47.6754890	8161
Itirapina	-22.2536514	-47.8212546	16148
Rafard	-23.0143559	-47.5306721	8965
Rio das Pedras	-22.8441256	-47.6065667	31328
Mombuca	-22.9293093	-47.5650724	3722
Capivari	-22.9999295	-47.5031066	50068
Elias Fausto	-23.0416538	-47.3718002	17699
Iracemápolis	-22.5869091	-47.5160966	21967
São Miguel Arcanjo	-23.8807771	-47.9963492	32039
Monte Mor	-22.9450430	-47.3121820	64662
Sarapuí	-23.6397400	-47.8248630	10369
Pilar do Sul	-23.8121684	-47.7201865	27619
Tatuí	-23.3489848	-47.8490165	123942
Alambari	-23.5503380	-47.8979710	6141
Pereiras	-23.0743096	-47.9746014	8737
Jumirim	-23.0843839	-47.7882279	3056
Cesário Lange	-23.2260350	-47.9544530	19048
Tapiraí	-23.9638345	-47.5067136	7996
Salto de Pirapora	-23.6492502	-47.5729465	43748
Cerquilho	-23.1626556	-47.7433878	44695
Tietê	-23.1030302	-47.7147937	37663
Araçoiaba da Serra	-23.5045367	-47.6168158	32443
Iperó	-23.3508977	-47.6876110	36459
Piedade	-23.7074096	-47.4252319	52970
Ibiúna	-23.6544825	-47.2208560	75605
Salto	-23.1989983	-47.2913682	134319
Juquitiba	-23.9323460	-47.0714217	27404
Boituva	-23.2838893	-47.6738231	61081
Porto Feliz	-23.2110713	-47.5247163	56497
Mairinque	-23.5401247	-47.1846323	50027
Embu-Guaçu	-23.8317997	-46.8156204	66970
Vargem Grande Paulista	-23.5993380	-47.0220380	50415
São Lourenço da Serra	-23.8535923	-46.9440587	16067
Cubatão	-23.8857982	-46.4241869	112476
Campo Limpo Paulista	-23.2077910	-46.7889190	77632
Carapicuíba	-23.5234673	-46.8406808	386984
Jandira	-23.5282246	-46.9020030	118045
Artur Nogueira	-22.5727370	-47.1726790	51456
Rio Grande da Serra	-23.7441905	-46.3924746	44170
Mauá	-23.6669527	-46.4616922	418261
Engenheiro Coelho	-22.4896659	-47.2119005	19566
Santa Cruz da Conceição	-22.1378975	-47.4555647	4277
Holambra	-22.6332028	-47.0545305	15094
Jaguariúna	-22.7037400	-46.9850620	59347
Luiz Antônio	-21.5524630	-47.7033894	1226
Santa Cruz das Palmeiras	-21.8234750	-47.2480230	28864
Tambaú	-21.7029200	-47.2703440	21435
São Simão	-21.4800208	-47.5531095	13442
Ibaté	-21.9562015	-48.0007848	32178
Descalvado	-21.9090404	-47.6203241	31756
Porto Ferreira	-21.8529134	-47.4794943	52649
Santa Cruz da Esperança	-21.2918648	-47.4309885	2116
Cajuru	-21.2759978	-47.3046035	23830
Altinópolis	-21.0213640	-47.3712000	16818
Tuiuti	-22.8193240	-46.6937627	6947
Serra Azul	-21.3132591	-47.5635821	12746
Serrana	-21.2066883	-47.6053774	43909
Brodowski	-20.9862299	-47.6578768	25201
Santa Rosa de Viterbo	-21.4869452	-47.3654908	23411
Espírito Santo do Pinhal	-22.1929522	-46.7470021	39816
Estiva Gerbi	-22.2742719	-46.9523302	11295
Vargem	-22.8902379	-46.4145366	10805
Santo Antônio do Jardim	-22.1158536	-46.6839541	6126
Santo Antônio de Posse	-22.6053304	-46.9197291	23244
Pedreira	-22.7413470	-46.8948460	43112
